State,Abbreviation,Total_Hospital_Beds,ICU_Beds
Alaska,AK,786,63
Alabama,AL,11129,1445
Arkansas,AR,7353,824
American Samoa,AS,150,7
Arizona,AZ,13031,1459
California,CA,58025,6116
Colorado,CO,10091,1162
Connecticut,CT,6300,724
District of Columbia,DC,2780,317
Delaware,DE,1143,169
Florida,FL,42588,5821
Georgia,GA,19289,2519
Guam,GU,261,26
Hawaii,HI,2474,212
Iowa,IA,7016,516
Idaho,ID,2736,226
Illinois,IL,24920,2837
Indiana,IN,11526,1785
Kansas,KS,5489,727
Kentucky,KY,9824,1286
Louisiana,LA,11807,1311
Massachusetts,MA,15013,1186
Maryland,MD,8555,1122
Maine,ME,2759,290
Michigan,MI,16624,2259
Minnesota,MN,8089,810
Missouri,MO,12397,1578
Mississippi,MS,7436,669
Montana,MT,2528,205
North Carolina,NC,17966,2225
North Dakota,ND,1855,186
Nebraska,NE,4721,422
New Hampshire,NH,2570,221
New Jersey,NJ,20774,2656
New Mexico,NM,2787,314
Nevada,NV,6718,774
New York,NY,34113,4194
Ohio,OH,23444,3312
Oklahoma,OK,7865,828
Oregon,OR,6497,635
Pennsylvania,PA,26230,3166
Puerto Rico,PR,7452,604
Rhode Island,RI,1947,144
South Carolina,SC,9764,1177
South Dakota,SD,2106,216
Tennessee,TN,17018,2308
Texas,TX,48331,5535
Utah,UT,5557,530
Virginia,VA,16154,1826
Virgin Islands,VI,112,8
Vermont,VT,1165,92
Washington,WA,11212,990
Wisconsin,WI,10346,1116
West Virginia,WV,4793,562
Wyoming,WY,1225,86
